delay,,,,,,condition,,,,,key_resp.rt,,,,,,,,
0.7,,,,,,unexp,,,,,0.9648098,,,,,,,,
0.7,,,,,,unexp,,,,,1.6726583,,,,,,,,
0.7,,,,,,unexp,,,,,0.3766131,,,,,,,,
0.7,,,,,,unexp,,,,,0.384572,,,,,,,,
0.7,,,,,,unexp,,,,,0.2935618,,,,,,,,
0.7,,,,,,unexp,,,,,0.3110567,,,,,,,,
0.7,,,,,,unexp,,,,,0.2689011,,,,,,,,
0.7,,,,,,unexp,,,,,0.3523501,,,,,,,,
0.7,,,,,,unexp,,,,,0.6213093,,,,,,,,
0.7,,,,,,unexp,,,,,0.7238208,,,,,,,,
0.7,,,,,,unexp,,,,,2.7677714,,,,,,,,
0.7,,,,,,unexp,,,,,1.1433126,,,,,,,,
0.7,,,,,,unexp,,,,,0.4976157,,,,,,,,
0.7,,,,,,unexp,,,,,0.4602114,,,,,,,,
0.7,,,,,,unexp,,,,,0.5315771,,,,,,,,
0.7,,,,,,unexp,,,,,10.4474368,,,,,,,,
0.7,,,,,,unexp,,,,,3.3676061,,,,,,,,
0.7,,,,,,unexp,,,,,1.0582658,,,,,,,,
0.7,,,,,,unexp,,,,,2.7595504,,,,,,,,
0.7,,,,,,unexp,,,,,0.4998124,,,,,,,,
0.7,,,,,,unexp,,,,,1.2845613,,,,,,,,
0.7,,,,,,unexp,,,,,0.1860189,,,,,,,,
0.7,,,,,,unexp,,,,,1.3448923,,,,,,,,
0.7,,,,,,unexp,,,,,0.6618863,,,,,,,,
0.7,,,,,,unexp,,,,,0.4307253,,,,,,,,
0.7,,,,,,unexp,,,,,0.3870313,,,,,,,,
0.7,,,,,,unexp,,,,,0.2544595,,,,,,,,
0.7,,,,,,unexp,,,,,0.4395201,,,,,,,,
0.7,,,,,,unexp,,,,,0.4044276,,,,,,,,
0.7,,,,,,unexp,,,,,7.5196311,,,,,,,,
0.7,,,,,,unexp,,,,,2.1405285,,,,,,,,
0.7,,,,,,unexp,,,,,0.5641928,,,,,,,,
0.7,,,,,,unexp,,,,,0.2982971,,,,,,,,
0.7,,,,,,unexp,,,,,0.3277737,,,,,,,,
0.7,,,,,,unexp,,,,,0.4677364,,,,,,,,
0.7,,,,,,unexp,,,,,0.2572269,,,,,,,,
0.7,,,,,,unexp,,,,,4.3505528,,,,,,,,
0.7,,,,,,unexp,,,,,2.2263122,,,,,,,,
0.7,,,,,,unexp,,,,,0.7029358,,,,,,,,
0.7,,,,,,unexp,,,,,0.5621981,,,,,,,,
0.7,,,,,,unexp,,,,,1.1143779,,,,,,,,
0.7,,,,,,unexp,,,,,1.0740446,,,,,,,,
0.7,,,,,,unexp,,,,,2.788694,,,,,,,,
0.7,,,,,,unexp,,,,,0.8018811,,,,,,,,
0.7,,,,,,unexp,,,,,0.3911004,,,,,,,,
0.7,,,,,,unexp,,,,,1.5834592,,,,,,,,
0.7,,,,,,unexp,,,,,0.2321375,,,,,,,,
0.7,,,,,,unexp,,,,,0.4374151,,,,,,,,
0.7,,,,,,unexp,,,,,0.4772204,,,,,,,,
0.7,,,,,,unexp,,,,,0.9029075,,,,,,,,
0.7,,,,,,unexp,,,,,0.3162377,,,,,,,,
0.7,,,,,,unexp,,,,,0.3116647,,,,,,,,
0.7,,,,,,unexp,,,,,0.2775728,,,,,,,,
